Barrio2	2010	2011	2012	2013	2014	2015	2016	Grand Total
PRADO VERANIEGO	21	10	10	16	22	18	20	117
PRADO VERANIEGO NORTE	1	1	1	3	2	4	1	13
PRADOS DE ALAMEDA		1		1			1	3
PRADOS DE SANTA BÁRBARA			2	1				3
PREDIO CORINTO	3	2					1	6
PREDIO SANTA ANA					1			1
PREDIO SANTA CECILIA					1		2	3
PREDIO SANTA LUCIA						2		2
PREDIO TINTAL CENTRAL						1		1
PRIMAVERA		5	2	2	1	1		11
PRIMAVERA II						1	1	2
PRIMAVERA NORTE		1	1		2			4
PRIMAVERA NUEVA	2	1		1	4	1	3	12
PRIMAVERA SUR OCCIDENTAL							1	1
PRIMERO DE MAYO	1		1	2	1		1	6
PRÍNCIPE DE BOCHICA	3	3	5	7	8	3	7	36
PROGRESO II SECTOR LA REFORMA	1		1	2	2	2	3	11
PROTABACO BOSA						1		1
PROTECHO BOGOTA II ETAPA I	3			3			2	8
PROVENZA	1	2						3
PROVIDENCIA	2				1	4	1	8
PROVIDENCIA ALTA	1		1		1			3
PROVIVIENDA NORTE						1	1	2
PUEBLO NUEVO	1	1	2	1				5
PUEBLO VIEJO							1	1
PUENTE COLORADO		1		1				2
PUENTE GRANDE	1	1		1	3	3	4	13
PUENTE LARGO	4	2	6	3	11	8	11	45
PUERTA AL LLANO					3	2		5
PUERTA DE TEJA		1	5	4	9	4	9	32
PUERTO AMOR				1				1
PUERTO RICO		1	1	2	1	1	2	8
QUESADA	1	1	4	12	16	20	8	62
QUIBA					1	2		3
QUINABE					1		1	2
QUINDIO	1	2	1	1	2		4	11
QUINTA CAMACHO	4	9	16	42	37	43	43	194
QUINTA MUTIS		1	1	1	3	3	4	13
QUINTA PAREDES	4	2	8	19	13	10	9	65
QUINTA RAMOS					4	3	2	9
QUINTA RAMOS I-II		1	2					3
QUINTAS DE SANTA BARBARA							1	1
QUINTAS DE SANTA CECILIA						2	1	3
QUINTAS DEL PLAN SOCIAL			3		3	1		7
QUIRIGUA I	9	3	19	16	11	12	15	85
QUIRIGUA II				2				2
QUIRINAL	1				1	2	5	9
QUIROGA IHS ETAPA				1	28	37	44	110
QUIROGA VII ETAPA					9	13	17	39
RAFAEL							1	1
RAFAEL ESCAMILLA					3	3		6
