URB. AYUELOS I ETAPA	1	1
URB. AVENIDA BARRANQUILLA	1	1
URB. ALBACETE	1	1
URB. ALAMEDA DE SAN ANTONIO	1	1
URB. 7 DE AGOSTO	3	3
URB MIRANDELA	5	5
URB AMERICAS RESERV	1	1
UNIVERSIDAD NACIONAL	1	1
UNIR I	1	1
UNIDAD RESIDENCIAL AYACUCHO	1	1
UNICENTRO	18	18
TURINGIA	5	5
TURINGA SUBA	4	4
TUNJUELITO	29	29
TUNALITO	22	22
TUNA BAJA	2	2
TUNA ALTA	1	1
TRIANGULO	2	2
TRES ESQUINAS	1	1
TORRES BLANCAS	6	6
TORREMOLINOS	1	1
TORCOROMA	2	2
TORCA GÓNGORA	3	3
TOCAREMA	1	1
TOCAIMITA SUR	1	1
TOBERIN ORIENTAL	31	31
TISQUESUSA	4	4
TINTALITO	13	13
TINTALA	2	2
TINTAL	25	25
TIMIZA LOTE RA -1 TONOLI I IV	1	1
TIMIZA CÉLULA A LOTE RA-2	12	12
TICOSA	1	1
TIBABUYES II SECTOR	1	1
TIBABUYES	9	9
TIBABITA	5	5
TEUSAQUILLO	90	90
TEUSACA I - II SECTOR	1	1
TERMINAL SATELITE DEL SUR	1	1
TERMINAL	4	4
TEQUENDAMA	5	5
TENERIFE	4	4
TEJARES DEL NORTE	1	1
TEJAR DEL ONTARIO	1	1
TECHO	30	30
TALAVERA	1	1
TABORA	2	2
TABERIN	1	1
SURAMERICA	5	5
SUCRE	29	29
SUBATA	1	1
SUBA URBANO	5	5
SUBA CENTRO	35	35
SOTAVENTO	3	3
SOLEDAD NORTE	1	1
SOCORRO III SECTOR	1	1
SOCIEGO SUR	13	13
SOCIEGO	14	14
SINAY	1	1
SIMON BOLIVAR	10	10
SIERRAS DEL CHICO	1	1
SIERRA MORENA	10	10
SIDAUTO	1	1
SERRANÍAS	1	1
SERENA	6	6
SERAFINA	10	10
SENA	1	1
SECTOR COLINAGRO ISMAEL PERDOMO	1	1
SAUSALITO	2	2
SANTIAGO PÉREZ	3	3
SANTIAGO III	1	1
SANTIAGO DE LAS ATALAYAS	3	3
SANTANDERCITO	2	2
SANTANDER	7	7
SANTAFÉ III SECTOR	1	1
SANTA TERESITA	19	19
SANTA TERESA	10	10
SANTA SOFIA	9	9
SANTA ROSITA CAFAM	1	1
SANTA ROSITA	3	3
SANTA ROSA	1	1
SANTA RITA SUR ORIENTAL II SECTOR	1	1
SANTA RITA	6	6
SANTA MONICA	3	3
SANTA MATILDE I SECTOR	20	20
SANTA MARTHA	5	5
SANTA MARTA II SECTOR	2	2
SANTA MARIA DEL LAGO	12	12
SANTA LUCIA SUR	1	1
SANTA LUCIA	24	24
SANTA LIBRADA SALAZAR SALAZAR	1	1
SANTA LIBRADA	17	17
SANTA ISABEL SUR	2	2
SANTA ISABEL OCCIDENTAL	1	1
SANTA ISABEL I SECTOR URB.	1	1
SANTA ISABEL DEL RESTREPO	1	1
SANTA ISABEL	18	18
SANTA INES	26	26
SANTA HELENITA	11	11
SANTA HELENA	2	2
SANTA FE	38	38
SANTA ELISA	1	1
SANTA CECILIA I	1	1
SANTA CECILIA	9	9
SANTA CATALINA	6	6
SANTA BIBIANA	9	9
SANTA BARBARA NORTE	2	2
SANTA BARBARA CENTRAL	26	26
SANTA BÁRBARA	6	6
SANTA BARBARA	38	38
SANTA ANA SUR	4	4
SANTA ANA ORIENTAL	6	6
SANTA ANA OCCIDENTAL	1	1
SANTA ANA	4	4
SAN VICTORINO	51	51
SAN VICENTE FERRER	23	23
SAN VICENTE	4	4
SAN RAFAEL INDUSTRIAL	5	5
SAN RAFAEL	2	2
SAN PEDRO DE TIBABUYES	1	1
SAN PEDRO	14	14
SAN PABLO JERICÓ	1	1
SAN PABLO II SECTOR	1	1
SAN PABLO II	1	1
SAN PABLO I	2	2
SAN PABLO	12	12
SAN MIGUEL	3	3
SAN MARTIN DE PORRES	1	1
SAN MARTÍN DE LOBA SUR	1	1
SAN MARTIN DE LOBA	3	3
SAN MARTÍN	1	1
SAN MARTIN	14	14
SAN MARCOS	4	4
SAN MANUEL	2	2
SAN LUIS VIA LA CALERA	1	1
SAN LUIS SECTOR ORIENTAL	1	1
SAN LUIS 20 DE JULIO	6	6
SAN LUIS	29	29
SAN JUSTINO	1	1
